Date,Open,High,Low,Close,Volume,Adj Close
2021-08-20,4.79,6.11,6.52,4.58,38846643,4.58
2021-08-23,5.5,5.5,5.5,5.5,3109724,5.5
2021-08-24,4.95,4.95,4.95,4.95,4065975,4.95
2021-08-25,4.95,4.83,5.14,4.77,20840903,4.77
2021-08-26,4.73,4.71,4.84,4.62,13816493,4.62
2021-08-27,4.66,4.61,4.7,4.6,9154883,4.6
2021-08-30,4.62,4.64,4.67,4.58,8283241,4.58
2021-08-31,4.61,4.56,4.62,4.55,7428288,4.55
2021-09-01,4.55,4.58,4.61,4.54,6917194,4.54
2021-09-02,4.56,4.56,4.57,4.54,5988770,4.54
2021-09-03,4.55,4.54,4.55,4.53,5609119,4.53
2021-09-06,4.54,4.55,4.58,4.53,5960071,4.53
2021-09-07,4.54,4.54,4.55,4.53,4980432,4.53
2021-09-08,4.54,4.54,4.55,4.53,4579274,4.53
2021-09-09,4.54,4.54,4.55,4.53,4194722,4.53
2021-09-10,4.54,4.53,4.55,4.53,4022438,4.53
2021-09-13,4.53,4.54,4.54,4.53,3432768,4.53
2021-09-14,4.54,4.53,4.54,4.53,4082816,4.53
2021-09-15,4.53,4.53,4.54,4.53,3390751,4.53
2021-09-16,4.53,4.53,4.54,4.53,4368258,4.53
2021-09-17,4.53,4.53,4.54,4.53,5390700,4.53
2021-09-22,4.54,4.63,4.73,4.53,5435019,4.53
2021-09-23,4.59,4.55,4.6,4.54,3349932,4.54
2021-09-24,4.54,4.44,4.55,4.43,3545092,4.43
2021-09-27,4.44,4.31,4.44,4.3,2857343,4.3
2021-09-28,4.29,4.34,4.38,4.25,1580030,4.25
2021-09-29,4.29,4.26,4.31,4.25,1458438,4.25
2021-09-30,4.26,4.29,4.3,4.25,976893,4.25
2021-10-08,4.3,4.34,4.35,4.27,1403774,4.27
2021-10-11,4.33,4.33,4.35,4.31,1059875,4.31
2021-10-12,4.32,4.28,4.33,4.25,1262682,4.25
2021-10-13,4.27,4.27,4.28,4.25,858032,4.25
2021-10-14,4.27,4.26,4.27,4.25,675389,4.25
2021-10-15,4.26,4.26,4.28,4.25,783029,4.25
2021-10-18,4.26,4.22,4.26,4.21,1151071,4.21
2021-10-19,4.22,4.2,4.23,4.19,936170,4.19
2021-10-20,4.2,4.19,4.21,4.18,804948,4.18
2021-10-21,4.19,4.17,4.19,4.16,882846,4.16
2021-10-22,4.16,4.14,4.16,4.13,1030289,4.13
2021-10-25,4.14,4.22,4.22,4.14,1406986,4.14
2021-10-26,4.2,4.2,4.22,4.16,1063230,4.16
2021-10-27,4.18,4.23,4.23,4.14,1271709,4.14
2021-10-28,4.23,4.41,4.41,4.18,2111833,4.18
2021-10-29,4.35,4.39,4.39,4.31,1667861,4.31
2021-11-01,4.35,4.33,4.36,4.31,868487,4.31
2021-11-02,4.31,4.22,4.33,4.22,1033922,4.22
2021-11-03,4.21,4.21,4.22,4.19,567512,4.19
2021-11-04,4.21,4.19,4.22,4.18,602523,4.18
2021-11-05,4.19,4.24,4.27,4.17,1172171,4.17
2021-11-08,4.22,4.21,4.24,4.2,572343,4.2
2021-11-09,4.2,4.22,4.24,4.19,541052,4.19
2021-11-10,4.22,4.21,4.23,4.19,531615,4.19
2021-11-11,4.2,4.21,4.23,4.2,633024,4.2
2021-11-12,4.21,4.21,4.22,4.2,567338,4.2
2021-11-15,4.22,4.22,4.25,4.21,692020,4.21
2021-11-16,4.22,4.21,4.23,4.2,555963,4.2
2021-11-17,4.21,4.21,4.22,4.2,398792,4.2
2021-11-18,4.21,4.18,4.22,4.18,629933,4.18
2021-11-19,4.18,4.19,4.2,4.17,575667,4.17
2021-11-22,4.19,4.4,4.4,4.18,2327161,4.18
2021-11-23,4.32,4.3,4.35,4.29,1244256,4.29
2021-11-24,4.29,4.29,4.32,4.26,747745,4.26
2021-11-25,4.28,4.28,4.3,4.28,429055,4.28
2021-11-26,4.28,4.28,4.29,4.27,509857,4.27
2021-11-29,4.27,4.28,4.31,4.24,711738,4.24
2021-11-30,4.28,4.28,4.3,4.27,613623,4.27
2021-12-01,4.27,4.29,4.3,4.26,572306,4.26
2021-12-02,4.28,4.28,4.29,4.27,520961,4.27
2021-12-03,4.28,4.32,4.36,4.27,1255635,4.27
2021-12-06,4.31,4.33,4.37,4.3,1319424,4.3
2021-12-07,4.32,4.33,4.35,4.31,854939,4.31
2021-12-08,4.33,4.34,4.35,4.32,873659,4.32
2021-12-09,4.34,4.42,4.42,4.33,1789887,4.33
2021-12-10,4.38,4.44,4.47,4.37,2208463,4.37
2021-12-13,4.42,4.4,4.44,4.4,1205446,4.4
2021-12-14,4.39,4.34,4.4,4.34,992355,4.34
2021-12-15,4.33,4.35,4.37,4.32,767164,4.32
2021-12-16,4.35,4.36,4.37,4.33,653306,4.33
2021-12-17,4.35,4.35,4.36,4.34,531016,4.34
2021-12-20,4.35,4.42,4.47,4.34,2220913,4.34
2021-12-21,4.41,4.43,4.45,4.39,1263152,4.39
2021-12-22,4.43,4.36,4.44,4.36,1015166,4.36
2021-12-23,4.36,4.35,4.38,4.35,678627,4.35
2021-12-24,4.35,4.31,4.36,4.31,870256,4.31
2021-12-27,4.31,4.32,4.34,4.3,613683,4.3
2021-12-28,4.32,4.32,4.33,4.3,452369,4.3
2021-12-29,4.32,4.31,4.32,4.3,357871,4.3
2021-12-30,4.31,4.31,4.34,4.3,455108,4.3
2021-12-31,4.32,4.33,4.34,4.31,487037,4.31
2022-01-04,4.32,4.38,4.4,4.32,1232732,4.32
2022-01-05,4.36,4.3,4.36,4.3,1452106,4.3
2022-01-06,4.3,4.3,4.32,4.28,760370,4.28
2022-01-07,4.29,4.29,4.33,4.29,738372,4.29
2022-01-10,4.29,4.32,4.34,4.29,971501,4.29
2022-01-11,4.32,4.31,4.33,4.3,701701,4.3
2022-01-12,4.31,4.31,4.32,4.3,380559,4.3
2022-01-13,4.32,4.3,4.34,4.3,718350,4.3
2022-01-14,4.3,4.26,4.31,4.26,917427,4.26
2022-01-17,4.26,4.27,4.28,4.25,494118,4.25
2022-01-18,4.27,4.29,4.31,4.26,668718,4.26
2022-01-19,4.28,4.26,4.28,4.26,467981,4.26
2022-01-20,4.28,4.28,4.3,4.27,602065,4.27
2022-01-21,4.28,4.27,4.28,4.26,457856,4.26
2022-01-24,4.27,4.28,4.29,4.25,570956,4.25
2022-01-25,4.27,4.2,4.28,4.19,876929,4.19
2022-01-26,4.2,4.21,4.23,4.2,404257,4.2
2022-01-27,4.22,4.15,4.22,4.15,624971,4.15
2022-01-28,4.16,4.16,4.18,4.15,430751,4.15
2022-02-07,4.18,4.21,4.22,4.17,475372,4.17
2022-02-08,4.21,4.29,4.33,4.2,1550003,4.2
2022-02-09,4.28,4.41,4.47,4.27,3656765,4.27
2022-02-10,4.37,4.32,4.38,4.3,1782492,4.3
2022-02-11,4.31,4.31,4.35,4.3,886434,4.3
2022-02-14,4.3,4.26,4.31,4.24,966476,4.24
2022-02-15,4.25,4.24,4.26,4.23,420352,4.23
2022-02-16,4.25,4.25,4.26,4.23,534189,4.23
2022-02-17,4.24,4.22,4.25,4.22,393907,4.22
2022-02-18,4.22,4.26,4.26,4.22,501327,4.22
2022-02-21,4.2,4.19,4.22,4.14,4776088,4.14
2022-02-22,4.16,4.16,4.18,4.14,1975961,4.14
2022-02-23,4.16,4.18,4.18,4.15,1136033,4.15
2022-02-24,4.17,4.13,4.17,4.12,1884778,4.12
2022-02-25,4.13,4.14,4.16,4.13,916497,4.13
2022-02-28,4.14,4.12,4.14,4.1,1014614,4.1
2022-03-01,4.12,4.13,4.13,4.11,595366,4.11
2022-03-02,4.12,4.13,4.13,4.11,729251,4.11
2022-03-03,4.12,4.14,4.15,4.12,933915,4.12
2022-03-04,4.13,4.12,4.13,4.1,1058173,4.1
2022-03-07,4.11,4.07,4.11,4.06,1262444,4.06
2022-03-08,4.07,4.01,4.09,4.0,1200297,4.0
2022-03-09,4.01,3.95,4.02,3.82,1509754,3.82
2022-03-10,3.97,3.99,3.99,3.93,987329,3.93
2022-03-11,3.95,3.96,3.97,3.9,731563,3.9
2022-03-14,3.93,3.97,3.98,3.92,887003,3.92
2022-03-15,3.94,3.9,3.95,3.87,1210679,3.87
2022-03-16,3.91,3.94,3.95,3.84,929053,3.84
2022-03-17,3.95,4.04,4.04,3.94,1337825,3.94
2022-03-18,4.06,4.05,4.07,4.01,1161381,4.01
2022-03-21,4.03,4.03,4.04,4.01,653052,4.01
2022-03-22,4.02,4.05,4.06,4.01,663070,4.01
2022-03-23,4.05,4.05,4.07,4.04,637966,4.04
2022-03-24,4.04,4.08,4.12,4.03,1222879,4.03
2022-03-25,4.06,4.03,4.07,4.02,718268,4.02
2022-03-28,4.0,4.01,4.03,3.96,624868,3.96
2022-03-29,4.01,4.01,4.03,3.99,447595,3.99
2022-03-30,4.0,4.02,4.03,4.0,472601,4.0
2022-03-31,4.01,4.0,4.03,4.0,441377,4.0
