Date,Open,High,Low,Close,Volume,Adj Close
2006-10-27,3.4,3.28,3.44,3.26,25825396,3.26
2006-10-30,3.27,3.29,3.32,3.25,3519210,3.25
2006-10-31,3.28,3.3,3.33,3.28,2301262,3.28
2006-11-01,3.3,3.3,3.31,3.28,1328924,3.28
2006-11-02,3.3,3.28,3.3,3.25,1751554,3.25
2006-11-03,3.27,3.36,3.37,3.27,4000161,3.27
2006-11-06,3.33,3.38,3.38,3.32,2099938,3.32
2006-11-07,3.38,3.4,3.43,3.37,2967925,3.37
2006-11-08,3.4,3.36,3.4,3.35,1518227,3.35
2006-11-09,3.36,3.4,3.4,3.35,1779482,3.35
2006-11-10,3.4,3.46,3.52,3.4,7596902,3.4
2006-11-13,3.45,3.52,3.59,3.44,4633752,3.44
2006-11-14,3.58,3.6,3.62,3.53,4319118,3.53
2006-11-15,3.61,3.65,3.65,3.6,3446057,3.6
2006-11-16,3.7,3.8,3.93,3.67,6877126,3.67
2006-11-17,3.79,3.8,3.85,3.74,3148417,3.74
2006-11-20,3.8,3.92,3.92,3.8,3180494,3.8
2006-11-21,3.91,3.93,3.96,3.86,2330601,3.86
2006-11-22,3.91,3.9,3.95,3.81,2834571,3.81
2006-11-23,3.92,3.97,4.01,3.92,3029436,3.92
2006-11-24,3.92,3.92,3.94,3.86,1892273,3.86
2006-11-27,3.89,3.81,3.9,3.76,3004676,3.76
2006-11-28,3.78,3.75,3.81,3.71,2424363,3.71
2006-11-29,3.67,3.79,3.8,3.65,2443111,3.65
2006-11-30,3.8,3.81,3.83,3.77,2318291,3.77
2006-12-01,3.83,3.76,3.83,3.74,2742034,3.74
2006-12-04,3.76,3.91,3.97,3.72,4106939,3.72
2006-12-05,3.91,3.88,3.98,3.86,2662256,3.86
2006-12-06,3.88,3.84,3.91,3.76,2634847,3.76
2006-12-07,3.84,3.85,3.95,3.81,3368740,3.81
2006-12-08,3.83,3.87,3.97,3.81,3868688,3.81
2006-12-11,3.86,4.08,4.09,3.85,4585764,3.85
2006-12-12,4.1,4.31,4.33,4.08,5430921,4.08
2006-12-13,4.33,4.29,4.39,4.21,2990581,4.21
2006-12-14,4.29,4.27,4.3,4.2,1848426,4.2
2006-12-15,4.29,4.32,4.34,4.26,1733075,4.26
2006-12-18,4.32,4.56,4.57,4.29,2806653,4.29
2006-12-19,4.58,4.73,4.82,4.57,3342214,4.57
2006-12-20,4.69,4.69,4.75,4.61,2071827,4.61
2006-12-21,4.69,4.65,4.78,4.63,1951241,4.63
2006-12-22,4.63,4.74,4.78,4.6,1936034,4.6
2006-12-25,4.8,5.21,5.21,4.8,4413752,4.8
2006-12-26,5.21,5.51,5.69,5.17,5796031,5.17
2006-12-27,5.47,5.68,5.7,5.27,4026596,5.27
2006-12-28,5.67,5.85,6.04,5.6,5162104,5.6
2006-12-29,5.9,6.2,6.36,5.82,6742917,5.82
2007-01-04,6.3,6.05,6.79,5.88,9678350,5.88
2007-01-05,5.87,5.45,5.87,5.45,8087496,5.45
2007-01-08,5.36,5.54,5.55,5.28,6449851,5.28
2007-01-09,5.54,5.78,5.79,5.42,6444564,5.42
2007-01-10,5.99,5.69,5.99,5.6,7824101,5.6
2007-01-11,5.66,5.51,5.66,5.43,5548478,5.43
2007-01-12,5.44,5.33,5.53,5.28,4240718,5.28
2007-01-15,5.32,5.57,5.58,5.29,4007152,5.29
2007-01-16,5.61,5.52,5.67,5.37,4291827,5.37
2007-01-17,5.53,5.44,5.65,5.41,4273978,5.41
2007-01-18,5.4,5.25,5.46,5.11,4778832,5.11
2007-01-19,5.25,5.31,5.33,5.2,3090556,5.2
2007-01-22,5.34,5.48,5.5,5.34,3791550,5.34
2007-01-23,5.54,5.63,5.65,5.36,5012218,5.36
2007-01-24,5.65,5.53,5.67,5.51,3541765,5.51
2007-01-25,5.45,5.28,5.45,5.25,3349561,5.25
2007-01-26,5.15,5.26,5.37,4.9,4186547,4.9
2007-01-29,5.18,5.32,5.38,5.11,6701287,5.11
2007-01-30,5.35,5.17,5.39,5.15,4234921,5.15
2007-01-31,5.17,5.01,5.28,4.99,5078151,4.99
2007-02-01,4.98,5.0,5.07,4.92,2493561,4.92
2007-02-02,5.03,4.82,5.06,4.8,3604044,4.8
2007-02-05,4.8,4.69,4.85,4.68,2404202,4.68
2007-02-06,4.71,4.89,4.9,4.56,4938340,4.56
2007-02-07,4.91,4.89,4.96,4.84,4690956,4.84
2007-02-08,4.9,4.84,4.91,4.79,2318859,4.79
2007-02-09,4.83,4.79,4.84,4.74,1924239,4.74
2007-02-12,4.79,4.93,4.93,4.78,2105998,4.78
2007-02-13,4.94,4.91,4.98,4.88,2394741,4.88
2007-02-14,4.9,5.04,5.08,4.86,2990948,4.86
2007-02-15,5.07,5.17,5.19,5.07,3373292,5.07
2007-02-16,5.21,5.14,5.23,5.11,2852135,5.11
2007-02-26,5.1,5.1,5.13,4.99,3724955,4.99
2007-02-27,5.1,4.69,5.1,4.64,4249136,4.64
2007-02-28,4.69,4.9,4.93,4.66,2952812,4.66
2007-03-01,4.8,4.75,4.86,4.7,2761893,4.7
2007-03-02,4.75,4.8,4.84,4.71,1789876,4.71
2007-03-05,4.79,4.69,4.83,4.64,2488236,4.64
2007-03-06,4.68,4.88,4.96,4.65,3317180,4.65
2007-03-07,4.89,4.91,4.96,4.88,2650193,4.88
2007-03-08,4.91,4.92,4.94,4.85,1689152,4.85
2007-03-09,4.94,5.05,5.09,4.92,4297765,4.92
2007-03-12,5.1,5.11,5.16,5.06,3230123,5.06
2007-03-13,5.1,5.04,5.11,4.99,2733938,4.99
2007-03-14,4.98,4.92,4.98,4.9,2337387,4.9
2007-03-15,4.91,4.95,5.02,4.91,1725626,4.91
2007-03-16,4.97,4.95,5.07,4.9,3099425,4.9
2007-03-19,4.88,5.18,5.27,4.85,6034775,4.85
2007-03-20,5.19,5.16,5.22,5.11,2417450,5.11
2007-03-22,5.22,5.19,5.25,5.14,3660762,5.14
2007-03-23,5.19,5.15,5.19,5.04,2532500,5.04
2007-03-26,5.14,5.19,5.21,5.1,2819096,5.1
2007-03-27,5.18,5.16,5.19,5.12,2472631,5.12
2007-03-28,5.15,5.3,5.32,5.11,6621739,5.11
2007-03-29,5.32,5.59,5.82,5.3,10161630,5.3
2007-03-30,5.54,5.49,5.6,5.45,3802989,5.45
2007-04-02,5.51,5.59,5.66,5.51,3229336,5.51
2007-04-03,5.61,5.62,5.63,5.53,2989321,5.53
2007-04-04,5.63,5.53,5.65,5.5,3166558,5.5
2007-04-05,5.5,5.55,5.57,5.4,4278002,5.4
2007-04-06,5.46,5.45,5.52,5.42,3118557,5.42
2007-04-09,5.45,5.48,5.52,5.37,4329054,5.37
2007-04-10,5.48,5.58,5.58,5.42,5737436,5.42
2007-04-11,5.58,5.59,5.64,5.52,4513365,5.52
2007-04-12,5.6,5.56,5.64,5.54,3909735,5.54
2007-04-13,5.57,5.45,5.58,5.45,3982016,5.45
2007-04-16,5.44,5.52,5.55,5.4,4062880,5.4
2007-04-17,5.53,5.48,5.58,5.38,4272402,5.38
2007-04-18,5.46,5.43,5.46,5.36,4874364,5.36
2007-04-19,5.44,5.22,5.51,5.11,5493411,5.11
2007-04-20,5.22,5.32,5.35,5.22,3506626,5.22
2007-04-23,5.32,5.43,5.45,5.26,5595771,5.26
2007-04-24,5.45,5.39,5.48,5.35,4599862,5.35
2007-04-25,5.38,5.53,5.61,5.32,7261009,5.32
2007-04-26,5.62,5.53,5.66,5.48,5157025,5.48
2007-04-27,5.55,5.41,5.57,5.4,4293712,5.4
2007-04-30,5.38,5.42,5.49,5.36,3820644,5.36
2007-05-08,5.52,5.48,5.54,5.43,4847616,5.43
2007-05-09,5.5,5.78,5.94,5.46,12136374,5.46
2007-05-10,5.82,5.77,5.87,5.71,7168197,5.71
2007-05-11,5.72,5.71,5.74,5.61,4834028,5.61
2007-05-14,5.65,5.75,5.79,5.62,4495553,5.62
2007-05-15,5.76,5.51,5.79,5.49,5229618,5.49
2007-05-16,5.51,5.54,5.58,5.44,3293722,5.44
2007-05-17,5.55,5.56,5.59,5.5,3816488,5.5
2007-05-18,5.55,5.49,5.55,5.46,3389411,5.46
2007-05-21,5.32,5.45,5.47,5.31,3883722,5.31
2007-05-22,5.45,5.48,5.52,5.41,4020297,5.41
2007-05-23,5.5,5.52,5.53,5.43,4208576,5.43
2007-05-24,5.54,5.56,5.68,5.5,5757021,5.5
2007-05-25,5.53,5.49,5.55,5.46,4004419,5.46
2007-05-28,5.51,5.53,5.58,5.48,4474285,5.48
2007-05-29,5.55,5.59,5.64,5.51,5157335,5.51
2007-05-30,5.36,5.32,5.53,5.22,6879289,5.22
2007-05-31,5.34,5.48,5.63,5.17,6842997,5.17
2007-06-01,5.49,5.43,5.64,5.41,5561448,5.41
2007-06-04,5.41,4.99,5.42,4.95,5337387,4.95
2007-06-05,4.97,5.08,5.15,4.72,4089714,4.72
2007-06-06,5.09,5.04,5.1,4.99,2577722,4.99
2007-06-07,5.03,5.07,5.07,5.0,2866899,5.0
2007-06-08,5.07,5.02,5.07,4.99,2577478,4.99
2007-06-11,5.02,5.06,5.08,4.99,2370237,4.99
2007-06-13,5.11,5.28,5.32,5.1,5267983,5.1
2007-06-14,5.26,5.13,5.26,5.12,2439795,5.12
2007-06-15,5.11,5.15,5.22,5.06,2121147,5.06
2007-06-18,5.2,5.24,5.3,5.18,3370631,5.18
2007-06-19,5.2,5.24,5.38,5.17,2698349,5.17
