Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
1999-02-11,15.835842386192203,15.947720527648924,15.835842386192203,15.947720527648926,3500,0.0,0.0,0.0,15.947720527648926
1999-02-12,15.876538854749484,15.876538854749484,15.825685110820112,15.856197357177734,2600,0.0,0.0,0.0,15.856197357177734
1999-02-16,15.957903484668257,15.968074232587103,15.927391240911723,15.937561988830566,3800,0.0,0.0,0.0,15.937561988830566
1999-02-17,15.805342265885578,16.110464703450937,15.805342265885578,15.937561988830566,5400,0.0,0.0,0.0,15.937561988830566
1999-02-18,15.835854509642115,15.968074232587103,15.795171517966732,15.937561988830566,4300,0.0,0.0,0.0,15.937561988830566
1999-02-19,15.866375223473046,16.059619537092267,15.866375223473046,16.039278030395508,2800,0.0,0.0,0.0,16.039278030395508
1999-02-22,16.04944371849503,16.283370971679688,16.04944371849503,16.283370971679688,6400,0.0,0.0,0.0,16.283370971679688
1999-02-23,16.232516083717346,16.303711329698565,16.181662336587905,16.2731990814209,5400,0.0,0.0,0.0,16.2731990814209
1999-02-24,16.374907744558236,16.385078494710132,16.191834241824044,16.23251724243164,5300,0.0,0.0,0.0,16.23251724243164
1999-02-25,15.998579192954255,15.998579192954255,15.805335070471019,15.907042503356934,3200,0.0,0.0,0.0,15.907042503356934
1999-02-26,15.988417061975309,16.04944155457827,15.86636807676939,15.957904815673828,3400,0.0,0.0,0.0,15.957904815673828
1999-03-01,15.927379047384067,15.947720527648924,15.825671646059774,15.947720527648926,3200,0.0,0.0,0.0,15.947720527648926
1999-03-02,15.988423080689655,16.01893533847723,15.81552028656006,15.815520286560059,47600,0.0,0.0,0.0,15.815520286560059
1999-03-03,15.937564739434563,15.937564739434563,15.693466747254327,15.723978996276855,13600,0.0,0.0,0.0,15.723978996276855
1999-03-04,15.846023165029923,16.029096603393555,15.846023165029923,16.029096603393555,15700,0.0,0.0,0.0,16.029096603393555
1999-03-05,16.303720020789083,16.385086059570312,16.303720020789083,16.385086059570312,5200,0.0,0.0,0.0,16.385086059570312
1999-03-08,16.446097942634864,16.47661018371582,16.39524420749994,16.47661018371582,1800,0.0,0.0,0.0,16.47661018371582
1999-03-09,16.476607896772006,16.608827589770794,16.466437151156715,16.557973861694336,1800,0.0,0.0,0.0,16.557973861694336
1999-03-10,16.496945960411658,16.578311908428486,16.425750755896935,16.52745819091797,2700,0.0,0.0,0.0,16.52745819091797
1999-03-11,16.53763313270011,16.730877308297465,16.53763313270011,16.54780387878418,1800,0.0,0.0,0.0,16.54780387878418
1999-03-12,16.568147273624643,16.629171757137073,16.568147273624643,16.59865951538086,2200,0.0,0.0,0.0,16.59865951538086
1999-03-15,16.588486098540212,16.64951057223196,16.557973861694336,16.557973861694336,1900,0.0,0.0,0.0,16.557973861694336
1999-03-16,16.58848301776044,16.598653761486837,16.44609260559082,16.44609260559082,4800,0.0,0.0,0.0,16.44609260559082
1999-03-17,16.476612871021143,16.568149609193483,16.395246881534618,16.41558837890625,1900,0.0,0.0,0.0,16.41558837890625
1999-03-18,16.38507498209497,16.456270217895508,16.344391990208948,16.456270217895508,3900,0.0,0.0,0.0,16.456270217895508
1999-03-19,16.538103858580865,16.609564801179673,16.507477740324234,16.558521270751953,9100,0.094,0.0,0.0,16.558521270751953
1999-03-22,16.48705195788271,16.558512864201706,16.42579975246643,16.43600845336914,9900,0.0,0.0,0.0,16.43600845336914
1999-03-23,16.436024816284956,16.436024816284956,16.048093795776367,16.048093795776367,4900,0.0,0.0,0.0,16.048093795776367
1999-03-24,16.048077004296438,16.71164252928325,15.966407401221138,16.00724220275879,4800,0.0,0.0,0.0,16.00724220275879
1999-03-25,16.08892112756001,16.282886547245063,16.078712421260796,16.18079948425293,6500,0.0,0.0,0.0,16.18079948425293
1999-03-26,16.058290838069926,16.24204750373125,16.058290838069926,16.221630096435547,3100,0.0,0.0,0.0,16.221630096435547
1999-03-29,16.415592007002225,16.48705291748047,16.415592007002225,16.48705291748047,3000,0.0,0.0,0.0,16.48705291748047
1999-03-30,16.37476535121157,16.497269830148312,16.37476535121157,16.476852416992188,3500,0.0,0.0,0.0,16.476852416992188
1999-03-31,16.3747681161216,16.405394241027068,16.29309844970703,16.29309844970703,21700,0.0,0.0,0.0,16.29309844970703
1999-04-01,16.313511793464144,16.466642379760742,16.313511793464144,16.466642379760742,3500,0.0,0.0,0.0,16.466642379760742
1999-04-05,16.589145781924422,16.823945999145508,16.578937076827852,16.823945999145508,7700,0.0,0.0,0.0,16.823945999145508
1999-04-06,16.762700865805478,16.772909575224357,16.66061377161665,16.732074737548828,2700,0.0,0.0,0.0,16.732074737548828
1999-04-07,16.8035205766722,16.834146677358724,16.640181373010744,16.762685775756836,24400,0.0,0.0,0.0,16.762685775756836
1999-04-08,16.721862913116695,16.88520223339134,16.681028083048034,16.854576110839844,24800,0.0,0.0,0.0,16.854576110839844
1999-04-09,16.86478042602539,16.88519783574213,16.77290208230007,16.86478042602539,1200,0.0,0.0,0.0,16.86478042602539
1999-04-12,16.864787766837622,17.273136138916016,16.844370348233703,17.273136138916016,11500,0.0,0.0,0.0,17.273136138916016
1999-04-13,17.25271881640482,17.40584945678711,17.23230139768718,17.40584945678711,1100,0.0,0.0,0.0,17.40584945678711
1999-04-14,17.487518679534528,17.93670187970938,17.477309970439645,17.783571243286133,25500,0.0,0.0,0.0,17.783571243286133
1999-04-15,17.96731736450537,18.324621971185874,17.94689995840934,18.242952346801758,61700,0.0,0.0,0.0,18.242952346801758
1999-04-16,18.294005362670422,18.416509862866874,18.13066602907515,18.345048904418945,173300,0.0,0.0,0.0,18.345048904418945
1999-04-19,18.5492201083017,19.15153380471876,18.416506920955566,18.49817657470703,292800,0.0,0.0,0.0,18.49817657470703
1999-04-20,18.600259064568412,18.600259064568412,18.19191089630127,18.375667572021484,102300,0.0,0.0,0.0,18.375667572021484
1999-04-21,18.416512283375887,18.46755583183314,18.253172928312686,18.43692970275879,58100,0.0,0.0,0.0,18.43692970275879
1999-04-22,18.36546625877258,19.090284549141035,18.36546625877258,18.44713592529297,56200,0.0,0.0,0.0,18.44713592529297
1999-04-23,18.293995454506454,18.59004783630371,18.293995454506454,18.59004783630371,109800,0.0,0.0,0.0,18.59004783630371
1999-04-26,18.65130695135401,18.702350484335273,18.569637298583984,18.569637298583984,64900,0.0,0.0,0.0,18.569637298583984
1999-04-27,18.794227458194257,18.804436164037924,18.620679458851885,18.661514282226562,160800,0.0,0.0,0.0,18.661514282226562
1999-04-28,18.671728745207535,18.988198723939867,18.671728745207535,18.896320343017578,27200,0.0,0.0,0.0,18.896320343017578
1999-04-29,19.039236285329764,19.09027981424486,18.794227346537316,18.967775344848633,85400,0.0,0.0,0.0,18.967775344848633
1999-04-30,18.988192065868503,18.988192065868503,18.54921773316294,18.743183135986328,63200,0.0,0.0,0.0,18.743183135986328
1999-05-03,18.671726180956913,19.110700607299805,18.671726180956913,19.110700607299805,26700,0.0,0.0,0.0,19.110700607299805
1999-05-04,19.110696005313955,19.31487010793483,19.06986118478978,19.192365646362305,333200,0.0,0.0,0.0,19.192365646362305
1999-05-05,19.141322120707084,19.243409172017525,18.977982838610384,19.192365646362305,70000,0.0,0.0,0.0,19.192365646362305
1999-05-06,19.110693718977036,19.233198165893555,19.018815383789644,19.233198165893555,108700,0.0,0.0,0.0,19.233198165893555
1999-05-07,19.314875626564024,19.600719451904297,19.294458210468292,19.600719451904297,119300,0.0,0.0,0.0,19.600719451904297
1999-05-10,19.437372225768463,19.570085376469613,19.335285186767578,19.335285186767578,24900,0.0,0.0,0.0,19.335285186767578
1999-05-11,19.55987737384293,19.692590529302198,19.467999035448052,19.661964416503906,83400,0.0,0.0,0.0,19.661964416503906
1999-05-12,19.60071165647942,19.60071165647942,19.386328872736673,19.467998504638672,50900,0.0,0.0,0.0,19.467998504638672
1999-05-13,19.386324496592504,19.467994110058928,19.212776567976352,19.274028778076172,32400,0.0,0.0,0.0,19.274028778076172
1999-05-14,19.02902603149414,19.274034950354583,18.967773801779032,19.02902603149414,34400,0.0,0.0,0.0,19.02902603149414
1999-05-17,18.99839840140394,19.008607105542254,18.835059135190903,18.988189697265625,22600,0.0,0.0,0.0,18.988189697265625
1999-05-18,18.814644073868628,18.896313717162688,18.51859161692767,18.743183135986328,19500,0.0,0.0,0.0,18.743183135986328
1999-05-19,18.84526934234881,19.049443441399177,18.84526934234881,19.02902603149414,74300,0.0,0.0,0.0,19.02902603149414
1999-05-20,19.13110828552736,19.202569202282262,18.457333927552543,19.08006477355957,11100,0.0,0.0,0.0,19.08006477355957
1999-05-21,19.008608862975514,19.008608862975514,18.814643466414537,18.855478286743164,90600,0.0,0.0,0.0,18.855478286743164
1999-05-24,18.89632241078767,19.080079192740225,18.692148208618164,18.692148208618164,14900,0.0,0.0,0.0,18.692148208618164
1999-05-25,18.84526887658524,18.86568628598566,18.63088607788086,18.63088607788086,17600,0.0,0.0,0.0,18.63088607788086
1999-05-26,18.5185939881449,18.569637521739565,18.416506920955566,18.49817657470703,77400,0.0,0.0,0.0,18.49817657470703
1999-05-27,18.41649740713614,18.41649740713614,18.069401557999427,18.191905975341797,719300,0.0,0.0,0.0,18.191905975341797
1999-05-28,18.232745713127983,18.447128501468235,18.232745713127983,18.375667572021484,2200,0.0,0.0,0.0,18.375667572021484
1999-06-01,18.375668904306092,18.620677823030174,18.22253833010354,18.38587760925293,11800,0.0,0.0,0.0,18.38587760925293
1999-06-02,18.743181829583154,18.743181829583154,18.54921644027919,18.63088607788086,22800,0.0,0.0,0.0,18.63088607788086
1999-06-03,18.63088848275373,18.85548001514857,18.63088848275373,18.824853897094727,17900,0.0,0.0,0.0,18.824853897094727
1999-06-04,18.92694145239494,19.01881980895996,18.92694145239494,19.01881980895996,4600,0.0,0.0,0.0,19.01881980895996
1999-06-07,19.18215636659467,19.222991185895562,19.151530252119,19.202573776245117,10800,0.0,0.0,0.0,19.202573776245117
1999-06-08,19.171947900829398,19.171947900829398,19.02902603149414,19.02902603149414,24900,0.0,0.0,0.0,19.02902603149414
1999-06-09,19.100487725399955,19.151531252191507,19.008609377175155,19.0494441986084,8500,0.0,0.0,0.0,19.0494441986084
1999-06-10,18.88610613320241,18.896314839220356,18.7329755429332,18.824853897094727,46400,0.0,0.0,0.0,18.824853897094727
1999-06-11,18.906525283970954,18.998403646582045,18.79422950744629,18.79422950744629,2100,0.0,0.0,0.0,18.79422950744629
1999-06-14,18.947358864964944,19.04944592781497,18.947358864964944,19.01881980895996,14400,0.0,0.0,0.0,19.01881980895996
1999-06-15,19.02902126159178,19.120899583133802,19.02902126159178,19.08006477355957,4400,0.0,0.0,0.0,19.08006477355957
1999-06-16,19.243402486111684,19.416950413042134,19.243402486111684,19.345489501953125,183200,0.0,0.0,0.0,19.345489501953125
