Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,994.77,982.79,994.77,980.66,7412868,980.66
2005-01-05,981.58,992.56,997.32,979.88,7119108,979.88
2005-01-06,993.33,983.17,993.79,980.33,6288029,980.33
2005-01-07,983.05,983.96,995.71,979.81,7298694,979.81
2005-01-10,983.76,993.88,993.96,979.79,5791697,979.79
2005-01-11,994.19,997.14,999.55,991.09,5849079,991.09
2005-01-12,996.65,996.75,996.98,989.26,5014525,989.26
2005-01-13,996.08,996.88,999.47,992.7,6044065,992.7
2005-01-14,996.62,988.31,1006.46,987.23,7297842,987.23
2005-01-17,979.11,967.45,981.53,965.08,7288188,965.08
2005-01-18,967.37,974.69,974.87,960.29,7311847,960.29
2005-01-19,974.33,967.21,974.33,965.26,6338091,965.26
2005-01-20,963.21,956.24,963.21,952.23,7727106,952.23
2005-01-21,954.46,982.6,984.27,943.44,14450059,943.44
2005-01-24,1001.85,998.13,1001.85,986.24,14359461,986.24
2005-01-25,995.64,997.78,997.95,985.24,9862529,985.24
2005-01-26,995.78,989.93,999.47,988.48,7663290,988.48
2005-01-27,987.34,974.63,987.7,973.77,6945364,973.77
2005-01-28,974.63,969.21,975.62,965.21,5748807,965.21
2005-01-31,965.79,954.88,965.79,953.14,6788706,953.14
2005-02-01,953.33,955.95,965.48,952.74,7433066,952.74
2005-02-02,956.7,1006.91,1006.93,956.7,17057338,956.7
2005-02-03,1005.56,993.22,1014.19,992.16,16974539,992.16
2005-02-04,992.25,1016.86,1021.03,989.94,15736214,989.94
2005-02-16,1023.32,1023.58,1033.25,1018.49,12131293,1018.49
2005-02-17,1024.43,1020.61,1024.43,1010.48,8968297,1010.48
2005-02-18,1020.12,1006.05,1021.2,1005.63,8139939,1005.63
2005-02-21,1006.69,1025.63,1025.66,1006.69,9886094,1006.69
2005-02-22,1026.84,1046.74,1048.68,1024.53,17937842,1024.53
2005-02-23,1046.81,1043.94,1049.61,1036.63,18696929,1036.63
2005-02-24,1042.25,1045.46,1045.96,1034.73,14681788,1034.73
2005-02-25,1046.27,1046.76,1059.48,1045.98,18170003,1045.98
2005-02-28,1046.21,1039.99,1048.28,1035.04,12971046,1035.04
2005-03-01,1039.35,1035.93,1042.74,1031.17,9962090,1031.17
2005-03-02,1036.37,1021.32,1045.76,1021.0,14225135,1021.0
2005-03-03,1019.88,1027.71,1028.4,1014.75,9203085,1014.75
2005-03-04,1027.93,1023.67,1031.85,1022.18,8173641,1022.18
2005-03-07,1024.48,1029.87,1031.34,1024.48,7932949,1024.48
2005-03-08,1033.79,1048.99,1049.29,1032.85,14295793,1032.85
2005-03-09,1051.26,1046.54,1054.64,1041.98,15327488,1041.98
2005-03-10,1046.69,1022.41,1046.69,1019.63,13295953,1019.63
2005-03-11,1021.08,1027.43,1028.12,1016.93,11476381,1016.93
2005-03-14,1027.18,1031.03,1041.57,1014.93,14466089,1014.93
2005-03-15,1030.86,1013.52,1030.94,1011.64,12007492,1011.64
2005-03-16,1011.85,1003.07,1012.2,995.97,10622782,995.97
2005-03-17,1001.97,992.86,1004.82,992.12,9969011,992.12
2005-03-18,991.89,978.66,996.4,975.71,9652059,975.71
2005-03-21,977.3,981.89,983.18,973.0,7252564,973.0
2005-03-22,981.71,964.02,982.14,959.56,11375717,959.56
2005-03-23,962.82,959.01,975.36,955.99,10930053,955.99
2005-03-24,957.43,964.8,965.06,948.53,9260714,948.53
2005-03-25,964.25,962.96,966.97,959.06,7107322,959.06
2005-03-28,961.65,960.7,961.65,948.81,6669246,948.81
2005-03-29,960.42,955.19,968.12,954.74,7577378,954.74
2005-03-30,952.71,937.03,952.71,936.38,8950164,936.38
2005-03-31,934.85,942.2,942.37,928.34,7859445,928.34
2005-04-01,941.43,978.15,989.9,937.55,16347504,937.55
2005-04-04,968.49,962.17,974.06,956.13,11435093,956.13
2005-04-05,960.54,955.6,967.75,953.59,9534536,953.59
2005-04-06,955.6,973.67,977.86,948.95,14282421,948.95
2005-04-07,975.97,984.73,1000.27,974.31,20754211,974.31
2005-04-08,984.66,1003.45,1003.7,979.53,14762526,979.53
2005-04-11,1003.88,995.42,1008.73,992.77,15936066,992.77
2005-04-12,993.71,978.7,993.71,978.2,10226193,978.2
2005-04-13,987.95,1000.9,1006.5,987.95,16071687,987.95
2005-04-14,1004.64,986.97,1006.42,985.58,12945710,985.58
2005-04-15,982.61,974.08,982.61,971.93,10408955,971.93
2005-04-18,970.91,963.77,970.91,958.65,8598400,958.65
2005-04-19,962.92,965.89,968.87,957.91,9212623,957.91
2005-04-20,964.15,950.87,964.15,946.2,8850705,946.2
2005-04-21,948.86,943.98,955.55,938.59,9946145,938.59
2005-04-22,942.91,939.1,947.91,934.96,10691884,934.96
2005-04-25,935.99,930.07,935.99,920.16,11470478,920.16
2005-04-26,928.43,937.08,939.7,924.66,11690471,924.66
2005-04-27,938.57,926.6,938.91,925.9,10780611,925.9
2005-04-28,923.53,942.07,945.5,914.83,14343486,914.83
2005-04-29,940.81,932.4,942.45,929.81,11235419,929.81
2005-05-09,934.65,909.17,937.39,909.17,8529115,909.17
2005-05-10,905.54,913.08,913.39,892.31,10494331,892.31
2005-05-11,911.84,901.85,917.22,900.44,9042047,900.44
2005-05-12,899.97,885.82,900.06,883.51,10228720,883.51
2005-05-13,883.51,887.54,898.51,875.58,11244906,875.58
2005-05-16,885.39,875.27,885.39,869.33,8224288,869.33
2005-05-17,873.08,881.46,888.28,868.21,8772273,868.21
2005-05-18,881.14,883.2,890.4,871.82,7878610,871.82
2005-05-19,882.84,884.17,888.02,871.29,8149583,871.29
2005-05-20,883.51,882.76,891.02,879.18,7226676,879.18
2005-05-23,880.28,863.34,880.28,862.1,7279795,862.1
2005-05-24,861.2,868.46,871.77,855.59,9206929,855.59
2005-05-25,867.66,868.45,876.3,861.66,7238556,861.66
2005-05-26,867.76,857.33,872.84,854.96,6622786,854.96
2005-05-27,855.59,849.51,864.96,848.4,7749983,848.4
2005-05-30,847.63,855.61,858.46,842.1,6971583,842.1
2005-05-31,856.56,855.95,863.2,853.29,7047821,853.29
2005-06-01,855.21,837.53,857.66,836.04,7902302,836.04
2005-06-02,835.47,818.38,835.49,812.99,9508657,812.99
2005-06-03,816.55,818.03,823.86,807.97,7936056,807.97
2005-06-06,816.73,839.0,839.15,807.78,9009185,807.78
2005-06-07,841.58,837.28,858.09,835.18,13067068,835.18
2005-06-08,848.54,905.77,908.83,844.47,32907839,844.47
2005-06-09,907.57,912.6,925.36,895.04,33141840,895.04
2005-06-10,911.94,894.56,911.94,889.1,22391502,889.1
2005-06-13,895.0,892.96,900.18,877.69,15628002,877.69
2005-06-14,895.39,883.54,905.41,882.86,14343570,882.86
2005-06-15,881.21,866.83,881.25,865.14,11454056,865.14
2005-06-16,866.66,879.24,879.49,861.83,11049685,861.83
2005-06-17,883.6,880.34,888.08,876.04,14963009,876.04
2005-06-20,881.62,906.26,906.48,872.56,18992082,872.56
2005-06-21,906.31,896.17,906.31,894.39,12774784,894.39
2005-06-22,894.77,900.65,901.24,891.93,10478134,891.93
2005-06-23,900.06,893.57,904.9,892.83,9509308,892.83
2005-06-24,892.06,898.3,898.67,888.4,8918739,888.4
2005-06-27,904.21,916.04,920.65,904.21,16545402,904.21
2005-06-28,913.48,903.72,913.48,901.21,10402219,901.21
2005-06-29,906.75,898.9,907.57,898.08,10806746,898.08
2005-06-30,897.1,878.69,897.1,876.88,10855472,876.88
2005-07-01,875.93,859.49,875.93,858.37,10094597,858.37
2005-07-04,855.32,855.93,856.1,842.81,8840277,842.81
2005-07-05,853.68,849.68,856.74,845.36,7992688,845.36
2005-07-06,850.25,842.56,854.45,838.61,6898314,838.61
2005-07-07,841.75,844.73,848.02,839.28,5962465,839.28
2005-07-08,842.62,829.49,842.62,827.23,7221000,827.23
2005-07-11,837.86,824.1,850.66,822.52,8439006,822.52
2005-07-12,821.91,851.82,854.29,818.86,14989871,818.86
2005-07-13,850.47,846.23,851.95,841.86,9398842,841.86
2005-07-14,844.94,849.59,856.09,843.18,9361968,843.18
2005-07-15,849.87,841.0,854.6,837.78,8889563,837.78
2005-07-18,839.22,832.99,840.01,829.68,8500006,829.68
2005-07-19,831.5,835.61,840.14,829.28,7891818,829.28
2005-07-20,835.3,842.64,844.71,832.14,8526473,832.14
2005-07-21,842.75,843.99,843.99,835.76,8366101,835.76
2005-07-22,847.54,859.69,867.16,842.99,21630000,842.99
2005-07-25,858.33,856.86,860.95,854.28,11816080,854.28
2005-07-26,856.19,876.48,880.03,856.19,21826776,856.19
2005-07-27,876.94,894.01,894.03,876.04,20409537,876.04
2005-07-28,893.88,890.89,901.0,888.5,20622527,888.5
2005-07-29,889.41,888.16,892.29,883.38,13397406,883.38
2005-08-01,887.72,891.61,897.28,885.85,11808309,885.85
2005-08-02,892.13,903.6,903.65,888.4,14292547,888.4
2005-08-03,905.18,909.57,919.28,903.76,25786298,903.76
2005-08-04,907.42,904.15,909.83,901.62,14519256,901.62
2005-08-05,904.04,923.8,923.81,903.94,19123765,903.94
2005-08-08,926.57,927.47,933.15,923.57,21608944,923.57
2005-08-09,926.97,933.09,933.39,919.11,19532907,919.11
2005-08-10,933.26,940.37,940.37,926.28,21515763,926.28
2005-08-11,940.78,953.99,953.99,939.39,27073666,939.39
2005-08-12,954.72,938.32,959.27,933.98,29168144,933.98
2005-08-15,937.71,954.5,954.5,936.11,20430813,936.11
2005-08-16,955.27,945.06,959.34,939.92,23861818,939.92
2005-08-17,943.41,953.01,953.34,930.33,21457769,930.33
2005-08-18,954.16,920.67,956.84,919.12,31855327,919.12
2005-08-19,918.09,923.04,927.32,910.08,22242679,910.08
2005-08-22,923.11,931.67,933.35,919.22,16031010,919.22
2005-08-23,931.81,923.41,931.81,915.03,15406488,915.03
2005-08-24,923.56,930.65,935.23,923.56,15959747,923.56
2005-08-25,930.97,930.12,933.2,920.61,16292057,920.61
2005-08-26,930.25,928.26,930.33,921.84,15429804,921.84
2005-08-29,928.34,917.37,928.34,913.77,15462261,913.77
2005-08-30,916.09,914.88,920.21,912.84,12438170,912.84
2005-08-31,915.12,927.92,928.21,911.51,14623630,911.51
2005-09-01,928.52,944.56,944.95,926.06,22306384,926.06
2005-09-02,945.98,947.87,947.92,941.31,18614438,941.31
2005-09-05,949.08,952.72,952.98,944.63,17843318,944.63
2005-09-06,953.41,936.61,956.3,934.97,21222255,934.97
2005-09-07,934.99,952.76,952.9,932.65,19608466,932.65
2005-09-08,954.27,955.28,958.87,947.71,22424393,947.71
2005-09-09,955.11,949.07,959.9,946.02,16219310,946.02
2005-09-12,949.78,949.51,952.55,945.4,11672613,945.4
2005-09-13,949.58,963.77,963.92,948.13,16579431,948.13
2005-09-14,964.97,970.19,970.26,961.64,19958291,961.64
2005-09-15,970.58,969.6,970.96,965.66,16377679,965.66
2005-09-16,969.62,967.49,970.37,964.28,13978571,964.28
2005-09-19,967.44,971.14,971.99,964.26,14737421,964.26
2005-09-20,971.38,961.92,971.65,957.12,18636604,957.12
2005-09-21,961.37,944.41,961.37,943.82,18541895,943.82
2005-09-22,942.73,923.27,942.73,914.23,18115525,914.23
2005-09-23,921.51,916.15,927.42,914.81,11547644,914.81
2005-09-26,915.84,918.48,919.65,913.61,8836241,913.61
2005-09-27,918.87,904.21,921.13,903.39,11086056,903.39
2005-09-28,903.33,903.72,910.33,901.38,8850310,901.38
2005-09-29,904.28,915.97,915.97,904.28,11938978,904.28
2005-09-30,916.59,917.39,918.66,913.45,9001433,913.45
2005-10-10,917.21,907.32,917.21,906.88,7158451,906.88
2005-10-11,906.63,919.72,919.8,904.04,7758295,904.04
